Sample,Assigned_Pop
tettnanger,pop1
mtrainier,pop1
orion,pop1
spalterselect,pop1
southernbrewer,pop1
hersbruckerpure,pop1
sunbeam,pop1
hallertauertradition,pop1
backa,pop1
wyeviking,pop1
omega,pop1
wyechallenger,pop1
sterling,pop1
hallertauergold,pop1
osvald72yvf,pop1
saazer38,pop1
nadwislanka,pop1
bianca,pop1
tc8555,pop2
kirinc601,pop2
horizon,pop2
pioneer,pop2
nugget,pop2
newport,pop2
hallertauermagnum,pop2
nuggeta,pop2
hybrid2,pop2
prideofringwood,pop2
toyomidori,pop2
wyetarget,pop2
cascade,pop2
easterngold,pop2
usda21734,pop2
tc8551,pop2
teamaker,pop2
magnumx21267m,pop2
wyetargeta,pop2
keyworthearly,pop3
vojvodina,pop3
aurora,pop3
alliance,pop3
neoplanta,pop3
northernbrewer,pop3
bobek,pop3
buket,pop3
ahil,pop3
kitamidori,pop3
yeoman,pop3
perle,pop3
firstchoice,pop3
easterngreen,pop3
scarlet,pop3
wyesaxon,pop3
prideofkent,pop3
sorachiace,pop3
apolon,pop3
earlyprolific,pop3
fuggleh,pop3
sunshine,pop3
whitbredsgolding,pop3
eastwellgolding,pop3
wuerttemberger,pop3
tardifdbourgogne,pop3
styrian,pop3
savinjagolding,pop3
hersbruckeralpha,pop3
hersbrucker6,pop3
hersbrucker,pop3
hersbruckerredstem,pop3
fugglen,pop3
hersbruckg,pop3
tolhurst,pop3
earlypromise,pop3
eastkentgolding,pop3
englishint30,pop3
canterburygolding,pop3
yuggolding,pop3
bramlingcross,pop3
kirinii,pop4
chinook,pop4
keyworthmidseason,pop4
canadianredvine,pop4
atlas,pop4
shinshuwase,pop4
comet,pop4
centennial,pop4
chelan,pop4
bullion10a,pop4
aquila,pop4
galena,pop4
banner,pop4
olympic,pop4
brewersgold,pop4
brewersgolda,pop4
talisman,pop4
cometa,pop4
eroicavf,pop4
furanoace,pop4
